leaid,district,city,state_name,lat,lon,ppcstot,predcost,fundinggap,outcomegap,enroll
100005,ALBERTVILLE CITY,Albertville,Alabama,34.282186,-86.223627,8396.416666666666,13344.613333333333,-4948.195833333334,-0.30301645600000005,4834.916666666667
100006,MARSHALL COUNTY,Guntersville,Alabama,34.30577,-86.286958,9432.0,11348.110416666668,-1916.1099833333335,-0.219792292,5728.333333333333
100007,HOOVER CITY,Hoover,Alabama,33.407169,-86.766082,10934.5,8909.717916666666,2024.7820833333333,0.226922735,13643.333333333334
100008,MADISON CITY,Madison,Alabama,34.686721,-86.745741,9139.0,8927.521083333335,211.47924999999998,0.510333562,9796.833333333334
100011,LEEDS CITY,Leeds,Alabama,33.549781,-86.535914,9070.0,14988.943333333335,-5918.943666666666,-0.395806867,1803.4166666666667
100012,BOAZ CITY,Boaz,Alabama,34.213187,-86.160456,9111.083333333334,10065.434,-954.3503333333334,-0.149771126,2318.5
100013,TRUSSVILLE CITY,Trussville,Alabama,33.617396,-86.618612,9436.333333333334,5907.690166666667,3528.6431666666663,0.268658809,4378.666666666667
100030,ALEXANDER CITY,Alexander City,Alabama,32.940361,-85.957909,8837.833333333334,17241.128333333334,-8403.295500000002,-0.183902109,3157.3333333333335
100060,ANDALUSIA CITY,Andalusia,Alabama,31.327923,-86.482833,8641.833333333334,16209.631666666668,-7567.799666666666,-0.129803067,1743.3333333333333
100090,ANNISTON CITY,Anniston,Alabama,33.708165,-85.822863,11073.416666666666,22297.24,-11223.823333333332,-0.73104654,2120.0
100100,ARAB CITY,Arab,Alabama,34.328111,-86.487787,8875.416666666666,7302.963083333333,1572.4536,0.36253314400000003,2562.0833333333335
100120,ATHENS CITY,Athens,Alabama,34.8092,-86.949816,9873.416666666666,11526.576666666666,-1653.1593666666665,-0.05706206100000001,3733.8333333333335
100180,ATTALLA CITY,Attalla,Alabama,33.998996,-86.108597,8910.833333333334,15110.745,-6199.911749999999,-0.38025031099999995,1644.0833333333333
100185,SARALAND CITY,Saraland,Alabama,30.862118,-88.126675,9627.0,9803.316,-176.3164,,3233.0
100188,CHICKASAW CITY,Chickasaw,Alabama,30.763732,-88.075055,8405.0,21907.99,-13502.99,,1514.0
100189,SATSUMA CITY,Satsuma,Alabama,30.849239,-88.067799,9351.0,11504.03,-2153.033,,1592.0
100190,ALABASTER CITY,Alabaster,Alabama,33.226138,-86.824059,10428.0,10815.29,-387.292,,6293.0
100194,PELHAM CITY,Pelham,Alabama,33.287785,-86.811329,9934.0,10703.78,-769.7832,,3383.0
100195,PIKE ROAD CITY,Montgomery,Alabama,32.342123,-86.125991,8308.0,8499.389,-191.3887,,2228.0
100210,AUBURN CITY,Auburn,Alabama,32.599209,-85.464096,9301.416666666666,9439.287,-137.87058333333334,0.354247356,7710.333333333333
100240,AUTAUGA COUNTY,Prattville,Alabama,32.462807,-86.474304,7733.833333333333,9828.019416666666,-2094.1855166666664,0.025376218000000006,9586.833333333334
100270,BALDWIN COUNTY,Bay Minette,Alabama,30.912515,-87.787491,8993.083333333334,9904.89425,-911.8109666666668,-0.005755568000000001,29920.416666666668
100300,BARBOUR COUNTY,Clayton,Alabama,31.881958,-85.461165,10808.333333333334,27065.482500000002,-16257.149166666668,-0.959092572,944.1666666666666
100330,BESSEMER CITY,Bessemer,Alabama,33.401041,-86.957423,9877.75,23846.813333333335,-13969.063333333334,-0.687028564,3986.0
100360,BIBB COUNTY,Centreville,Alabama,32.9455,-87.143074,8814.25,13040.975833333332,-4226.725916666667,-0.41625934100000006,3402.5
100390,BIRMINGHAM CITY,Birmingham,Alabama,33.519899,-86.808778,10525.583333333334,24833.12916666667,-14307.545833333335,-0.701785127,24823.666666666668
100420,BLOUNT COUNTY,Oneonta,Alabama,33.946027,-86.476206,8129.083333333333,8591.169416666668,-462.0858641666667,-0.277154174,8097.666666666667
100450,BREWTON CITY,Brewton,Alabama,31.118078,-87.073117,9453.416666666666,16651.321666666667,-7197.905166666666,0.018427850000000003,1162.25
100480,BULLOCK COUNTY,Union Springs,Alabama,32.144752,-85.716937,10034.25,27616.065833333338,-17581.815833333334,-0.869823315,1523.1666666666667
100510,BUTLER COUNTY,Greenville,Alabama,31.815031,-86.626547,8937.666666666666,18919.01,-9981.343416666667,-0.511111313,3206.0
100540,CALHOUN COUNTY,Anniston,Alabama,31.321586,-86.482976,8897.083333333334,10177.526583333334,-1280.4425666666666,-0.15237615300000001,9084.583333333334
100600,CHAMBERS COUNTY,Lafayette,Alabama,32.890345,-85.382695,8840.5,16890.464166666665,-8049.964,-0.4968867619999999,3808.3333333333335
100630,CHEROKEE COUNTY,Centre,Alabama,34.151676,-85.678793,9337.25,9789.773333333333,-452.5232925000001,-0.255791202,4036.8333333333335
100660,CHILTON COUNTY,Clanton,Alabama,32.868878,-86.622212,8115.5,11086.2175,-2970.7175000000007,-0.305650578,7732.333333333333
100690,CHOCTAW COUNTY,Butler,Alabama,32.084838,-88.2326,9815.333333333334,20556.061666666665,-10740.728083333333,-0.5983671549999999,1590.8333333333333
100720,CLARKE COUNTY,Grove Hill,Alabama,31.709669,-87.780118,9367.333333333334,18197.907499999998,-8830.574416666665,-0.485372536,2966.5
100750,CLAY COUNTY,Ashland,Alabama,33.274843,-85.835692,8663.75,12462.97425,-3799.2234166666663,-0.36949733300000004,1998.3333333333333
100780,CLEBURNE COUNTY,Heflin,Alabama,33.677552,-85.552646,8792.583333333334,9500.451583333335,-707.8684500000003,-0.08121354499999998,2629.9166666666665
100810,COFFEE COUNTY,Elba,Alabama,31.410122,-86.056394,8869.0,7947.875666666667,921.1244166666669,-0.14768410899999998,2119.5
100840,COLBERT COUNTY,Tuscumbia,Alabama,34.714351,-87.702389,10609.5,11018.168583333334,-408.6695324999999,-0.33141218699999997,2760.0
100870,CONECUH COUNTY,Evergreen,Alabama,31.455421,-86.969959,10977.25,22623.48583333333,-11646.235416666665,-0.4050772355555556,1724.0833333333333
100900,COOSA COUNTY,Rockford,Alabama,32.887557,-86.222306,10296.666666666666,17690.624166666665,-7393.959000000002,-0.482085722,1081.4166666666667
100930,COVINGTON COUNTY,Andalusia,Alabama,31.321586,-86.482976,8913.666666666666,10105.601999999999,-1191.9355583333336,-0.17238502699999997,3110.8333333333335
100960,CRENSHAW COUNTY,Luverne,Alabama,31.7051,-86.2677,8671.583333333334,14065.574166666667,-5393.9913333333325,-0.31437869199999996,2291.5833333333335
100990,CULLMAN CITY,Cullman,Alabama,34.1792,-86.8405,9169.083333333334,8843.479,325.6046616666667,0.5204306589999999,3072.25
101020,CULLMAN COUNTY,Cullman,Alabama,34.180941,-86.84041,8948.5,9837.98325,-889.4828983333335,-0.11732135299999999,9663.25
101050,DALE COUNTY,Ozark,Alabama,31.425172,-85.619826,8617.083333333334,10604.5545,-1987.4716916666666,-0.13193735,3040.3333333333335
101080,DALEVILLE CITY,Daleville,Alabama,31.316204,-85.709728,9329.666666666666,17451.865833333333,-8122.198666666667,-0.510447941,1132.8333333333333
101110,DALLAS COUNTY,Selma,Alabama,32.41171,-87.023871,10546.333333333334,23616.84833333333,-13070.515000000001,-0.6485362169999999,3478.9166666666665
101140,DEKALB COUNTY,Rainsville,Alabama,34.497227,-85.851233,8943.083333333334,12107.024166666664,-3163.93975,-0.43265943600000006,8880.083333333334
101170,DECATUR CITY,Decatur,Alabama,34.602206,-86.981891,10405.272727272728,15693.210909090909,-5287.936727272727,-0.22602931777777777,8679.09090909091
101200,DEMOPOLIS CITY,Demopolis,Alabama,32.510583,-87.834922,8261.416666666666,16459.76833333333,-8198.35325,-0.259415055,2306.3333333333335
101230,DOTHAN CITY,DOTHAN,Alabama,31.205412,-85.434158,9218.75,16933.22,-7714.469333333333,-0.15959432,9188.666666666666
101260,ELBA CITY,Elba,Alabama,31.423669,-86.105062,10537.333333333334,18816.9275,-8279.593583333333,-0.465455437,700.1666666666666
101290,ELMORE COUNTY,Wetumpka,Alabama,32.55016,-86.219743,8026.583333333333,10777.829166666666,-2751.2458583333323,-0.19030828200000002,11228.25
101320,ENTERPRISE CITY,Enterprise,Alabama,31.324232,-85.852006,8636.75,10565.841916666668,-1929.0919166666665,0.09326806600000001,6667.416666666667
101350,ESCAMBIA COUNTY,Brewton,Alabama,31.106169,-87.071849,9689.0,15614.868333333337,-5925.867416666665,-0.29349469899999997,4479.0
101380,ETOWAH COUNTY,Gadsden,Alabama,34.013157,-86.003129,8181.083333333333,7653.744833333333,527.338416,-0.12008861200000003,8939.833333333334
101410,EUFAULA CITY,Eufaula,Alabama,31.867992,-85.151572,7555.5,18981.86,-11426.360333333332,-0.47524968800000006,3518.1666666666665
101440,FAIRFIELD CITY,Fairfield,Alabama,33.474518,-86.915058,9816.0,25484.411666666663,-15668.411666666667,-0.7697895819999999,1856.5833333333333
101470,FAYETTE COUNTY,Fayette,Alabama,33.684904,-87.832177,9104.833333333334,11481.516166666668,-2376.681591666667,-0.23118001800000001,2404.75
101530,FLORENCE CITY,Florence,Alabama,34.793586,-87.67972,10898.416666666666,14194.150833333331,-3295.734750000001,-0.080546221,4366.583333333333
101560,FORT PAYNE CITY,Fort Payne,Alabama,34.486206,-85.673755,8188.25,12098.225666666667,-3909.974283333333,-0.290456917,3148.9166666666665
101590,FRANKLIN COUNTY,Russellville,Alabama,34.508299,-87.727046,9264.583333333334,10643.76525,-1379.1825,-0.226355183,3428.9166666666665
101620,GADSDEN CITY,Gadsden,Alabama,34.013852,-86.018098,9207.75,19296.220833333333,-10088.471083333332,-0.40012341300000004,5338.833333333333
101640,GENEVA CITY,Geneva,Alabama,31.045519,-85.881578,9005.5,14906.347499999998,-5900.848499999999,-0.11034433799999999,1258.3333333333333
101660,GENEVA COUNTY,Geneva,Alabama,31.031117,-85.866475,8464.083333333334,12643.6645,-4179.582,-0.347057977,2742.6666666666665
101680,GREENE COUNTY,Eutaw,Alabama,32.841464,-87.889358,11236.666666666666,27122.532500000005,-15885.865833333331,-0.835591696,1219.4166666666667
101690,GUNTERSVILLE CITY,Guntersville,Alabama,34.308812,-86.339579,9525.916666666666,11515.784166666666,-1989.8691391666669,0.137050379,1930.9166666666667
101710,HALE COUNTY,Greensboro,Alabama,32.70705,-87.593647,9055.25,19045.791666666664,-9990.54125,-0.3905221910000001,2748.6666666666665
101720,HALEYVILLE CITY,Haleyville,Alabama,34.225543,-87.60498,9124.666666666666,12946.955,-3822.2890833333327,-0.19492177800000002,1682.5
101730,HARTSELLE CITY,Hartselle,Alabama,34.44704,-86.931461,8869.75,6974.683416666667,1895.0666,0.18922903600000002,3211.3333333333335
101740,HENRY COUNTY,Abbeville,Alabama,31.566851,-85.252131,8327.583333333334,13840.189166666665,-5512.604833333334,-0.425715372,2631.1666666666665
101760,HOMEWOOD CITY,Homewood,Alabama,33.477464,-86.80551,11876.083333333334,9136.314916666666,2739.768,0.527716187,3909.75
101770,HOUSTON COUNTY,Dothan,Alabama,31.220962,-85.396924,8342.083333333334,10817.912916666668,-2475.8293500000004,-0.088868775,6387.666666666667
101800,HUNTSVILLE CITY,Huntsville,Alabama,34.712323,-86.586335,10211.666666666666,14917.991666666667,-4706.323666666667,-0.19828019599999996,23615.25
101830,JACKSON COUNTY,Scottsboro,Alabama,34.675199,-86.061521,9623.666666666666,8350.195083333332,1273.4715333333336,-0.158851109,5620.0
101860,JACKSONVILLE CITY,Jacksonville,Alabama,33.786983,-85.768305,8802.5,15087.049166666664,-6284.54825,-0.047618919,1613.25
101890,JASPER CITY,Jasper,Alabama,33.835022,-87.276626,9685.916666666666,12475.8675,-2789.95145,0.012844951000000004,2728.25
101920,JEFFERSON COUNTY,Birmingham,Alabama,33.48761,-86.793791,8979.166666666666,15203.289166666667,-6224.121416666668,-0.345431833,36113.083333333336
101950,LAMAR COUNTY,Vernon,Alabama,33.753695,-88.115146,8479.333333333334,11227.755916666669,-2748.42375,-0.346212778,2360.5833333333335
101980,LANETT CITY,Lanett,Alabama,32.86831,-85.191371,9474.166666666666,27734.461666666666,-18260.295,-0.76960569,885.0
102010,LAUDERDALE COUNTY,Florence,Alabama,34.832753,-87.622315,8624.916666666666,7005.793666666665,1619.1230249999996,-0.032958850000000005,8586.416666666666
102040,LAWRENCE COUNTY,Moulton,Alabama,34.475532,-87.293089,9265.333333333334,10271.55925,-1006.2256499999999,-0.24483341799999997,4995.583333333333
102070,LEE COUNTY,Opelika,Alabama,32.620993,-85.39166,8812.833333333334,10299.00875,-1486.1752,-0.220907733,9722.166666666666
102100,LIMESTONE COUNTY,Athens,Alabama,34.800964,-86.972551,8681.416666666666,9069.170666666667,-387.75449750000007,-0.2860512,9271.583333333334
102130,LINDEN CITY,Linden,Alabama,32.307675,-87.797743,10795.333333333334,28307.455833333337,-17512.1225,-0.872243675,506.5833333333333
102160,LOWNDES COUNTY,Hayneville,Alabama,32.181682,-86.581037,13676.166666666666,27394.126666666667,-13717.96,-0.7913340879999999,1640.25
102190,MACON COUNTY,Tuskegee,Alabama,32.407393,-85.670017,10965.083333333334,24850.257499999996,-13885.174166666664,-0.778528107,2282.6666666666665
102220,MADISON COUNTY,Huntsville,Alabama,34.785482,-86.523002,8526.333333333334,9299.994166666667,-773.6598416666667,0.08682944599999999,19623.166666666668
102250,MARENGO COUNTY,Linden,Alabama,32.306496,-87.796738,10608.5,21481.606666666667,-10873.107166666667,-0.36278715100000003,1237.0833333333333
102310,MARION COUNTY,Hamilton,Alabama,34.116154,-87.996594,8799.25,10073.013416666667,-1273.7639,-0.11684923700000001,3469.0833333333335
102350,MIDFIELD CITY,Midfield,Alabama,33.459214,-86.911176,10160.416666666666,26433.905833333327,-16273.489166666672,-0.8483107760000002,1159.5
102370,MOBILE COUNTY,Mobile,Alabama,30.718638,-88.219762,9130.75,16780.01916666667,-7649.270583333332,-0.259100187,58459.0
102400,MONROE COUNTY,Monroeville,Alabama,31.518487,-87.316688,9056.083333333334,17020.236666666668,-7964.1539999999995,-0.526811434,3706.5833333333335
102430,MONTGOMERY COUNTY,Montgomery,Alabama,32.373977,-86.301992,8853.583333333334,20136.205,-11282.621666666666,-0.568733535,30689.0
102480,MORGAN COUNTY,Decatur,Alabama,34.52823,-86.90049,9364.833333333334,8945.637416666666,419.1958941666667,-0.214134497,7735.25
102490,MOUNTAIN BROOK CITY,Mountain Brook,Alabama,33.501803,-86.753896,12638.666666666666,4391.34425,8247.322333333335,0.9857829929999999,4411.916666666667
102520,MUSCLE SHOALS CITY,Muscle Shoals,Alabama,34.733611,-87.63556,9448.833333333334,8101.729916666667,1347.1034750000001,0.31918630600000003,2847.0833333333335
102550,ONEONTA CITY,Oneonta,Alabama,33.940281,-86.485434,7984.5,11093.345833333333,-3108.8464166666668,0.07984642500000001,1473.6666666666667
102580,OPELIKA CITY,Opelika,Alabama,32.64427,-85.391232,10129.083333333334,16950.088333333333,-6821.005416666667,-0.283144269,4345.0
102610,OPP CITY,Opp,Alabama,31.28649,-86.250866,8891.166666666666,17234.233333333334,-8343.067583333333,-0.16730062299999998,1343.4166666666667
102635,OXFORD CITY,Oxford,Alabama,33.615916,-85.835125,9407.5,11648.144500000002,-2240.6465000000003,0.013464015000000001,4136.333333333333
102640,OZARK CITY,Ozark,Alabama,31.468386,-85.674847,9458.333333333334,16281.067500000003,-6822.733833333333,-0.274777517,2258.9166666666665
102650,PELL CITY,Pell City,Alabama,33.605865,-86.273974,8443.75,8766.19725,-322.44713916666655,-0.175096965,4095.3333333333335
102670,PERRY COUNTY,Marion,Alabama,32.634091,-87.320651,10026.083333333334,29112.006666666668,-19085.923333333336,-0.762394864,1611.5833333333333
102700,PHENIX CITY,Phenix City,Alabama,32.469809,-85.004364,8662.166666666666,16737.115,-8074.949166666666,-0.356813048,6831.0
102730,PICKENS COUNTY,Carrollton,Alabama,33.255347,-88.168439,9457.416666666666,18199.544166666667,-8742.127666666665,-0.4407325890000001,2716.25
102760,PIEDMONT CITY,Piedmont,Alabama,33.927086,-85.615744,8513.25,13860.953333333333,-5347.702833333333,-0.12403440299999999,1176.0
102790,PIKE COUNTY,Troy,Alabama,31.806302,-85.972906,10391.75,17888.42583333333,-7496.6755,-0.193878886,2210.4166666666665
102820,RANDOLPH COUNTY,Wedowee,Alabama,33.31213,-85.476798,9216.333333333334,12186.525500000002,-2970.1924999999997,-0.5139246749999999,2240.6666666666665
102850,ROANOKE CITY,Roanoke,Alabama,33.150495,-85.369258,8267.75,17297.078333333335,-9029.328083333334,-0.399896825,1534.6666666666667
102880,RUSSELL COUNTY,Phenix City,Alabama,32.47306,-84.999981,8739.416666666666,13677.624166666666,-4938.208083333334,-0.427308864,3492.8333333333335
102910,RUSSELLVILLE CITY,Russellville,Alabama,34.52606,-87.737623,9138.25,15339.582499999999,-6201.333916666667,-0.241621227,2511.0
102940,SCOTTSBORO CITY,Scottsboro,Alabama,34.670394,-86.030583,9489.0,9217.041749999999,271.958325,-0.167444914,2594.6666666666665
102970,SELMA CITY,Selma,Alabama,32.428942,-87.023827,9019.916666666666,25637.711666666666,-16617.795000000002,-0.667269526,3736.3333333333335
103000,SHEFFIELD CITY,Sheffield,Alabama,34.764328,-87.701477,11117.583333333334,19391.100000000002,-8273.517166666667,-0.427398277,1102.3333333333333
103030,SHELBY COUNTY,Columbiana,Alabama,33.180301,-86.602213,9178.5,7606.626083333334,1571.873875,0.06747027200000001,23757.0
103062,ST CLAIR COUNTY,Ashville,Alabama,33.820168,-86.268905,8133.666666666667,8435.596499999998,-301.9298675,-0.153828625,8924.5
103090,SUMTER COUNTY,Livingston,Alabama,32.619641,-88.1949,10815.916666666666,27510.675,-16694.758333333335,-0.9098586909999999,1760.0833333333333
103120,SYLACAUGA CITY,Sylacauga,Alabama,33.169101,-86.251105,9360.5,13759.505000000003,-4399.005666666667,-0.185410516,2321.6666666666665
103150,TALLADEGA CITY,Talladega,Alabama,33.433698,-86.093432,10024.583333333334,18239.881666666664,-8215.299083333333,-0.564350509,2187.6666666666665
103180,TALLADEGA COUNTY,Talladega,Alabama,33.432428,-86.102472,9105.083333333334,12970.760000000002,-3865.677833333333,-0.29847515,7639.0
103210,TALLAPOOSA COUNTY,Dadeville,Alabama,32.831365,-85.754453,9156.083333333334,13834.304166666667,-4678.221666666667,-0.49634506199999995,2936.5833333333335
103240,TALLASSEE CITY,Tallassee,Alabama,32.537135,-85.893247,8525.5,13739.527500000002,-5214.027916666667,-0.330851773,1885.25
103270,TARRANT CITY,Tarrant,Alabama,33.57261,-86.779999,10239.25,27476.257499999996,-17237.007499999996,-0.703365737,1221.5833333333333
103300,THOMASVILLE CITY,Thomasville,Alabama,31.886732,-87.735232,9424.333333333334,17517.22,-8092.8881666666675,-0.33695669899999997,1378.9166666666667
103330,TROY CITY,Troy,Alabama,31.781294,-85.963529,9237.75,19725.816666666666,-10488.06625,-0.25369282,2029.1666666666667
103360,TUSCALOOSA CITY,Tuscaloosa,Alabama,33.203731,-87.561951,10412.75,19893.3075,-9480.557,-0.344765594,10377.833333333334
103390,TUSCALOOSA COUNTY,Tuscaloosa,Alabama,33.203636,-87.566298,8561.583333333334,12630.584583333331,-4069.0028333333335,-0.269847533,18117.583333333332
103420,TUSCUMBIA CITY,Tuscumbia,Alabama,34.738251,-87.700352,9294.75,13315.269166666667,-4020.5182499999996,-0.26285933,1520.1666666666667
103430,VESTAVIA HILLS CITY,Vestavia Hills,Alabama,33.432917,-86.789108,10851.583333333334,4808.76025,6042.823083333333,0.740605415,6748.0
103450,WALKER COUNTY,Jasper,Alabama,33.834179,-87.274959,9314.333333333334,10173.921666666667,-859.5884916666665,-0.27719398700000003,7970.083333333333
103480,WASHINGTON COUNTY,Chatom,Alabama,31.465862,-88.257989,8954.0,12574.670833333335,-3620.6708333333336,-0.446185324,3062.0
103510,WILCOX COUNTY,Camden,Alabama,32.003296,-87.290119,10534.833333333334,26519.070000000003,-15984.236666666666,-0.83397492,1836.5
103540,WINFIELD CITY,Winfield,Alabama,33.933197,-87.811801,8919.0,10583.881,-1664.8815483333335,0.18538934199999998,1285.5
103580,WINSTON COUNTY,Double Springs,Alabama,34.146071,-87.402788,9826.166666666666,10419.669166666668,-593.5024500000001,-0.272300606,2548.4166666666665
200001,LOWER KUSKOKWIM SCHOOL DISTRICT,Bethel,Alaska,60.802916,-161.77297,29661.333333333332,22719.16333333333,6942.168666666666,-1.2304308714285714,4213.75
200003,LOWER YUKON SCHOOL DISTRICT,Mountain Village,Alaska,62.092018,-163.724886,28564.875,26705.621125000005,1859.2541750000003,-1.3009267,2000.625
200004,YUPIIT SCHOOL DISTRICT,Akiachak,Alaska,60.913883,-161.448992,34533.333333333336,32217.96333333333,2315.3708583333337,-1.6278316142857143,449.8333333333333
200005,KASHUNAMIUT SCHOOL DISTRICT,Chevak,Alaska,61.531048,-165.585866,28941.875,27569.21625,1372.6583000000003,-1.115963195714286,312.875
200007,ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,Sand Point,Alaska,55.342221,-160.496135,36509.166666666664,12321.954416666667,24187.212499999994,-0.256747988,249.58333333333334
200020,BERING STRAIT SCHOOL DISTRICT,Unalakleet,Alaska,63.876727,-160.793772,33184.083333333336,20142.723333333335,13041.359666666669,,1863.5833333333333
200030,BRISTOL BAY BOROUGH SCHOOL DISTRICT,Naknek,Alaska,58.733307,-157.004582,32969.0,10592.717166666664,22376.2825,-0.1173322,139.91666666666666
200050,ALASKA GATEWAY SCHOOL DISTRICT,Tok,Alaska,63.333206,-142.958861,30670.333333333332,18700.375000000004,11969.959,-0.5524037785714285,401.0833333333333
200060,CORDOVA CITY SCHOOL DISTRICT,Cordova,Alaska,60.543043,-145.757525,20298.25,9524.023916666669,10774.225666666665,-0.09363191428571428,345.1666666666667
200070,COPPER RIVER SCHOOL DISTRICT,Glennallen,Alaska,62.11293,-145.526532,19370.583333333332,10957.118166666667,8413.46525,0.11664665714285714,461.75
200090,CRAIG CITY SCHOOL DISTRICT,Craig,Alaska,55.475526,-133.1372,14852.416666666666,11268.049083333337,3584.366666666667,-0.02145932571428572,595.75
200100,DELTA-GREELY SCHOOL DISTRICT,Delta Junction,Alaska,64.043075,-145.711185,16187.583333333334,11864.588333333333,4322.99575,-0.05091240285714286,880.9166666666666
200120,DILLINGHAM CITY SCHOOL DISTRICT,Dillingham,Alaska,59.042379,-158.464858,24182.166666666668,13066.369666666666,11115.796916666666,-0.46817727571428575,484.5833333333333
200130,GALENA CITY SCHOOL DISTRICT,Galena,Alaska,64.746135,-156.878509,6342.0,6338.75,3.250488,,5326.0
200150,KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT,Ketchikan,Alaska,55.353558,-131.677936,17391.833333333332,5886.5230833333335,11505.31,-0.04977430857142857,2287.4166666666665
200180,ANCHORAGE SCHOOL DISTRICT,Anchorage,Alaska,61.193958,-149.775759,14882.583333333334,10332.138666666668,4550.444666666667,-0.04338751142857143,48153.833333333336
200210,JUNEAU BOROUGH SCHOOL DISTRICT,Juneau,Alaska,58.302965,-134.424249,16949.75,8777.943666666666,8171.806250000001,-0.017526472857142854,4907.5
200240,SITKA SCHOOL DISTRICT,Sitka,Alaska,57.065302,-135.351601,18464.833333333332,8624.544249999999,9840.28825,0.04800117714285714,1313.1666666666667
200270,HAINES BOROUGH SCHOOL DISTRICT,Haines,Alaska,59.234574,-135.453573,21055.583333333332,13020.512833333334,8035.07225,0.17887053,284.9166666666667
200300,HOONAH CITY SCHOOL DISTRICT,Hoonah,Alaska,58.108798,-135.442182,33796.083333333336,19150.3825,14645.700833333334,,117.25
200330,HYDABURG CITY SCHOOL DISTRICT,Hydaburg,Alaska,55.207545,-132.825933,43795.0,17633.21,26161.79,,112.0
200360,KAKE CITY SCHOOL DISTRICT,Kake,Alaska,56.977702,-133.947065,34495.857142857145,14922.605714285713,19573.25142857143,,105.57142857142857
200390,KENAI PENINSULA BOROUGH SCHOOL DISTRICT,Soldotna,Alaska,60.48968,-151.071451,17173.25,8193.070333333331,8980.179333333335,0.13748562571428571,9068.833333333334
200450,KLAWOCK CITY SCHOOL DISTRICT,Klawock,Alaska,55.553553,-133.099033,31354.666666666668,17324.234166666665,14030.432833333334,,128.83333333333334
200480,KODIAK ISLAND BOROUGH SCHOOL DISTRICT,Kodiak,Alaska,57.794069,-152.395226,20330.0,7225.007999999999,13104.991666666669,-0.02704551142857143,2484.0833333333335
200485,LAKE AND PENINSULA BOROUGH SCHOOL DISTRICT,King Salmon,Alaska,58.701946,-156.666093,44361.75,12802.06325,31559.687499999996,-0.2980720542857143,366.9166666666667
200510,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,Palmer,Alaska,61.611321,-149.097358,14649.416666666666,6923.226500000001,7726.190416666667,0.044556154285714286,18029.166666666668
200520,IDITAROD AREA SCHOOL DISTRICT,McGrath,Alaska,62.95433,-155.595578,29178.0,14591.43,14586.57,,320.0
200525,ANNETTE ISLAND SCHOOL DISTRICT,Metlakatla,Alaska,55.126236,-131.577064,26934.166666666668,13799.685,13134.4805,-0.32822331,305.4166666666667
200540,NENANA CITY SCHOOL DISTRICT,Nenana,Alaska,64.561776,-149.088866,8146.0,13170.85,-5024.85,,1442.0
200570,NOME PUBLIC SCHOOLS,Nome,Alaska,64.542453,-165.40547,21706.0,9740.0695,11965.929666666669,-0.42904994714285716,691.9166666666666
200600,FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT,Fairbanks,Alaska,64.842168,-147.718047,16962.166666666668,8033.044750000001,8929.122333333333,-0.0013518828571428578,13997.416666666666
200610,NORTH SLOPE BOROUGH SCHOOL DISTRICT,Utqiagvik,Alaska,71.291244,-156.788489,36553.583333333336,11347.003333333334,25206.578333333335,-0.7972624971428571,2006.8333333333333
200625,NORTHWEST ARCTIC BOROUGH SCHOOL DISTRICT,Kotzebue,Alaska,66.901524,-162.586946,31611.166666666668,12840.320083333332,18770.846666666668,-0.9642412057142858,2061.5
200660,PETERSBURG BOROUGH SCHOOL DISTRICT,Petersburg,Alaska,56.814831,-132.954464,20335.166666666668,11039.801250000002,9295.366083333334,0.23969052714285713,468.25
200670,PRIBILOF SCHOOL DISTRICT,St. Paul Island,Alaska,57.120896,-170.279219,29018.0,8158.93,20859.07,,110.0
